date,close
2024-07-01,42.2186
2024-07-02,41.9376
2024-07-03,41.5867
2024-07-04,41.7555
2024-07-05,41.6892
2024-07-08,41.9357
2024-07-09,42.1028
2024-07-10,42.0867
2024-07-11,41.81
2024-07-12,41.3117
2024-07-15,41.1724
2024-07-16,41.4627
2024-07-17,41.542
2024-07-18,41.1363
2024-07-19,41.2015
2024-07-22,41.3368
2024-07-23,41.0528
2024-07-24,41.1115
2024-07-25,41.1388
2024-07-26,40.7709
2024-07-29,40.8957
2024-07-30,41.0874
2024-07-31,41.4516
2024-08-01,41.8093
2024-08-02,41.3569
2024-08-05,41.0549
2024-08-06,41.2323
2024-08-07,41.41
2024-08-08,41.5889
2024-08-09,42.8791
2024-08-12,43.0835
2024-08-13,43.4835
2024-08-14,43.824
2024-08-15,44.0612
2024-08-16,43.9589
2024-08-19,44.2346
2024-08-20,43.9699
2024-08-21,43.8954
2024-08-22,43.7338
2024-08-23,43.7712
2024-08-26,44.5904
2024-08-27,43.9332
2024-08-28,44.1832
2024-08-29,43.622
2024-08-30,43.4661
2024-09-02,43.8534
2024-09-03,43.8847
2024-09-04,43.5151
2024-09-05,43.2748
2024-09-06,43.5188
2024-09-09,43.2732
2024-09-10,43.3568
2024-09-11,43.3813
2024-09-12,43.1638
2024-09-13,43.9128
2024-09-16,44.1442
2024-09-17,43.4379
2024-09-18,43.5114
2024-09-19,43.2897
2024-09-20,43.5936
