date,close
2024-07-01,498.6625
2024-07-02,498.2067
2024-07-03,494.9993
2024-07-04,491.5455
2024-07-05,494.0402
2024-07-08,498.1592
2024-07-09,498.0436
2024-07-10,501.1421
2024-07-11,502.3297
2024-07-12,500.4858
2024-07-15,501.6711
2024-07-16,506.401
2024-07-17,506.3934
2024-07-18,511.2486
2024-07-19,503.3148
2024-07-22,505.8975
2024-07-23,506.2629
2024-07-24,505.4559
2024-07-25,505.8353
2024-07-26,499.9042
2024-07-29,499.3453
2024-07-30,500.5151
2024-07-31,505.0534
2024-08-01,503.5839
2024-08-02,501.2418
2024-08-05,499.833
2024-08-06,502.6783
2024-08-07,503.7703
2024-08-08,502.2698
2024-08-09,503.9171
2024-08-12,504.3114
2024-08-13,507.3432
2024-08-14,505.3076
2024-08-15,504.4152
2024-08-16,503.3294
2024-08-19,499.0103
2024-08-20,499.9967
2024-08-21,500.8799
2024-08-22,500.9954
2024-08-23,500.3904
2024-08-26,496.2411
2024-08-27,495.0879
2024-08-28,494.1689
2024-08-29,491.8889
2024-08-30,491.5113
2024-09-02,492.8012
2024-09-03,498.4768
2024-09-04,499.0987
2024-09-05,499.9697
2024-09-06,499.8464
2024-09-09,494.1918
2024-09-10,494.2121
2024-09-11,494.4895
2024-09-12,501.8967
2024-09-13,501.4178
2024-09-16,502.4253
2024-09-17,502.4211
2024-09-18,498.9986
2024-09-19,502.52
2024-09-20,504.8877
