date,close
2024-07-01,1.0785
2024-07-02,1.0785
2024-07-03,1.0798
2024-07-04,1.0819
2024-07-05,1.0795
2024-07-08,1.079
2024-07-09,1.0782
2024-07-10,1.077
2024-07-11,1.081
2024-07-12,1.0821
2024-07-15,1.0796
2024-07-16,1.0818
2024-07-17,1.0866
2024-07-18,1.089
2024-07-19,1.0859
2024-07-22,1.0851
2024-07-23,1.0881
2024-07-24,1.0868
2024-07-25,1.0879
2024-07-26,1.0898
2024-07-29,1.088
2024-07-30,1.0881
2024-07-31,1.0813
2024-08-01,1.0793
2024-08-02,1.079
2024-08-05,1.0765
2024-08-06,1.0802
2024-08-07,1.0773
2024-08-08,1.0766
2024-08-09,1.0771
2024-08-12,1.0804
2024-08-13,1.0775
2024-08-14,1.0803
2024-08-15,1.0805
2024-08-16,1.0786
2024-08-19,1.0798
2024-08-20,1.0805
2024-08-21,1.0794
2024-08-22,1.0797
2024-08-23,1.0791
2024-08-26,1.0796
2024-08-27,1.0812
2024-08-28,1.0849
2024-08-29,1.0824
2024-08-30,1.0872
2024-09-02,1.0832
2024-09-03,1.0831
2024-09-04,1.0846
2024-09-05,1.0854
2024-09-06,1.0843
2024-09-09,1.084
2024-09-10,1.0832
2024-09-11,1.0821
2024-09-12,1.0842
2024-09-13,1.0852
2024-09-16,1.0839
2024-09-17,1.0861
2024-09-18,1.0869
2024-09-19,1.0889
2024-09-20,1.0905
