date,close
2024-07-01,45.2938
2024-07-02,44.9733
2024-07-03,45.487
2024-07-04,44.986
2024-07-05,45.2062
2024-07-08,46.0074
2024-07-09,45.652
2024-07-10,45.4543
2024-07-11,45.4997
2024-07-12,45.3255
2024-07-15,44.7723
2024-07-16,44.8058
2024-07-17,44.434
2024-07-18,44.6112
2024-07-19,44.292
2024-07-22,44.8501
2024-07-23,44.578
2024-07-24,44.4721
2024-07-25,44.7704
2024-07-26,44.3385
2024-07-29,44.428
2024-07-30,44.9015
2024-07-31,44.3331
2024-08-01,44.4074
2024-08-02,44.5086
2024-08-05,44.7959
2024-08-06,44.3616
2024-08-07,43.9018
2024-08-08,44.0939
2024-08-09,44.2075
2024-08-12,44.3049
2024-08-13,44.4366
2024-08-14,44.2037
2024-08-15,44.2947
2024-08-16,44.4074
2024-08-19,44.1625
2024-08-20,44.8305
2024-08-21,45.0094
2024-08-22,44.5895
2024-08-23,44.8326
2024-08-26,44.492
2024-08-27,44.781
2024-08-28,45.2051
2024-08-29,44.9173
2024-08-30,45.2725
2024-09-02,45.431
2024-09-03,45.7389
2024-09-04,46.4421
2024-09-05,46.3602
2024-09-06,46.0899
2024-09-09,45.7712
2024-09-10,45.4816
2024-09-11,45.4627
2024-09-12,45.5958
2024-09-13,45.7059
2024-09-16,46.0175
2024-09-17,46.0315
2024-09-18,46.5759
2024-09-19,46.4866
2024-09-20,47.5075
