date,close
2024-07-01,501.5901
2024-07-02,501.2743
2024-07-03,503.3226
2024-07-04,508.0227
2024-07-05,507.4106
2024-07-08,506.7993
2024-07-09,511.7027
2024-07-10,514.1612
2024-07-11,512.8157
2024-07-12,514.5877
2024-07-15,513.2598
2024-07-16,511.9282
2024-07-17,512.7738
2024-07-18,506.9899
2024-07-19,501.8442
2024-07-22,500.2515
2024-07-23,497.3115
2024-07-24,498.3486
2024-07-25,495.7332
2024-07-26,491.6316
2024-07-29,496.0533
2024-07-30,495.4805
2024-07-31,495.7804
2024-08-01,491.6414
2024-08-02,490.1338
2024-08-05,490.5581
2024-08-06,487.2684
2024-08-07,488.4643
2024-08-08,486.8016
2024-08-09,486.047
2024-08-12,484.3895
2024-08-13,489.8697
2024-08-14,489.928
2024-08-15,486.9167
2024-08-16,489.4172
2024-08-19,485.9301
2024-08-20,486.6362
2024-08-21,481.0117
2024-08-22,477.2746
2024-08-23,477.9338
2024-08-26,480.147
2024-08-27,480.7368
2024-08-28,480.4993
2024-08-29,479.7273
2024-08-30,475.5676
2024-09-02,473.6087
2024-09-03,472.3944
2024-09-04,475.4852
2024-09-05,476.5606
2024-09-06,471.6147
2024-09-09,472.6261
2024-09-10,471.6286
2024-09-11,469.8074
2024-09-12,471.6256
2024-09-13,474.6374
2024-09-16,477.3844
2024-09-17,475.0761
2024-09-18,474.2898
2024-09-19,475.3273
2024-09-20,478.2046
